MSOA code,MSOA name,Total annual income (£)
E02002330,Leeds 001,54100
E02002331,Leeds 002,37200
E02002332,Leeds 003,40100
E02002333,Leeds 004,41500
E02002334,Leeds 005,49500
E02002335,Leeds 006,53600
E02002336,Leeds 007,51900
E02002337,Leeds 008,53500
E02002338,Leeds 009,45900
E02002339,Leeds 010,37900
E02002340,Leeds 011,40000
E02002341,Leeds 012,55600
E02002342,Leeds 013,45500
E02002343,Leeds 014,49900
E02002344,Leeds 015,47600
E02002345,Leeds 016,54300
E02002346,Leeds 017,40500
E02002347,Leeds 018,36300
E02002348,Leeds 019,41800
E02002349,Leeds 020,52600
E02002350,Leeds 021,52800
E02002351,Leeds 022,50400
E02002352,Leeds 023,47300
E02002353,Leeds 024,55700
E02002354,Leeds 025,40800
E02002356,Leeds 027,51200
E02002357,Leeds 028,45500
E02002358,Leeds 029,37500
E02002359,Leeds 030,48000
E02002360,Leeds 031,46000
E02002361,Leeds 032,46900
E02002362,Leeds 033,35800
E02002363,Leeds 034,51100
E02002364,Leeds 035,28300
E02002366,Leeds 037,43800
E02002367,Leeds 038,34300
E02002368,Leeds 039,48000
E02002369,Leeds 040,33100
E02002370,Leeds 041,31300
E02002371,Leeds 042,34300
E02002373,Leeds 044,43500
E02002374,Leeds 045,40200
E02002375,Leeds 046,33000
E02002376,Leeds 047,31000
E02002377,Leeds 048,31300
E02002379,Leeds 050,31700
E02002380,Leeds 051,39800
E02002381,Leeds 052,40500
E02002382,Leeds 053,29700
E02002383,Leeds 054,32800
E02002384,Leeds 055,27900
E02002385,Leeds 056,38100
E02002386,Leeds 057,41900
E02002387,Leeds 058,34100
E02002388,Leeds 059,36800
E02002389,Leeds 060,28600
E02002390,Leeds 061,36900
E02002391,Leeds 062,43000
E02002392,Leeds 063,27400
E02002393,Leeds 064,28600
E02002394,Leeds 065,27400
E02002395,Leeds 066,42900
E02002396,Leeds 067,40200
E02002397,Leeds 068,38100
E02002398,Leeds 069,41500
E02002399,Leeds 070,32800
E02002400,Leeds 071,30900
E02002401,Leeds 072,29400
E02002402,Leeds 073,48400
E02002403,Leeds 074,38800
E02002404,Leeds 075,35400
E02002405,Leeds 076,41200
E02002406,Leeds 077,47300
E02002407,Leeds 078,29900
E02002408,Leeds 079,38900
E02002409,Leeds 080,37100
E02002410,Leeds 081,37400
E02002411,Leeds 082,35200
E02002412,Leeds 083,40900
E02002414,Leeds 085,28000
E02002415,Leeds 086,30200
E02002416,Leeds 087,37200
E02002417,Leeds 088,39700
E02002418,Leeds 089,41800
E02002419,Leeds 090,30800
E02002420,Leeds 091,39800
E02002421,Leeds 092,28600
E02002422,Leeds 093,44800
E02002423,Leeds 094,32400
E02002424,Leeds 095,40600
E02002425,Leeds 096,39700
E02002426,Leeds 097,44900
E02002427,Leeds 098,38200
E02002428,Leeds 099,38700
E02002429,Leeds 100,43100
E02002430,Leeds 101,29600
E02002431,Leeds 102,40500
E02002432,Leeds 103,39000
E02002433,Leeds 104,34700
E02002434,Leeds 105,44400
E02002435,Leeds 106,42300
E02002436,Leeds 107,37500
E02002437,Leeds 108,47100
E02006852,Leeds 109,49100
E02006861,Leeds 110,35000
E02006875,Leeds 111,50600
E02006876,Leeds 112,38100
